title,type,genre,year,rating,actors,overview,image_url
Joker,Movie,Sci-Fi,1998,8.1,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Breaking Bad,Series,Drama,2001,6.6,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Money Heist,Series,Comedy,1992,8.4,"Leonardo DiCaprio, Tom Hardy",A comedy story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Action,1987,6.6,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mirzapur,Series,Crime,1999,9.3,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Thriller,1984,8.0,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Crime,2017,7.4,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Mirzapur,Series,Romance,1990,8.7,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Crime,2023,6.2,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sacred Games,Series,Action,2000,7.1,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Taare Zameen Par,Movie,Drama,1996,8.2,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Crime,1992,7.4,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Sacred Games,Series,Thriller,2012,8.7,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Titanic,Movie,Thriller,1985,9.0,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Breaking Bad,Series,Sci-Fi,2023,9.3,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Game of Thrones,Series,Fantasy,2018,6.4,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Breaking Bad,Series,Comedy,2015,8.5,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Money Heist,Series,Sci-Fi,2019,6.9,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Game of Thrones,Series,Crime,2013,7.6,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Drama,1996,7.8,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avatar,Movie,Sci-Fi,2017,7.9,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
The Matrix,Movie,Comedy,1993,9.1,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sacred Games,Series,Action,1994,8.8,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Gladiator,Movie,Fantasy,1987,8.7,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Romance,1986,7.1,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Sci-Fi,2017,9.1,"Leonardo DiCaprio, Tom Hardy",A sci-fi story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Comedy,2000,8.7,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,Movie,Thriller,2012,7.4,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Sci-Fi,1997,7.9,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Dangal,Movie,Sci-Fi,1998,9.1,"Leonardo DiCaprio, Tom Hardy",A sci-fi story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
The Matrix,Movie,Thriller,1995,8.3,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,Movie,Sci-Fi,1996,8.2,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Game of Thrones,Series,Comedy,2001,6.7,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sacred Games,Series,Crime,1991,7.4,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
The Godfather,Movie,Sci-Fi,2008,8.4,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sacred Games,Series,Sci-Fi,2019,8.0,"Aamir Khan, Kareena Kapoor",A sci-fi story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
The Godfather,Movie,Sci-Fi,2025,8.2,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,Movie,Sci-Fi,1993,6.5,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Titanic,Movie,Thriller,2016,7.9,"Robert Downey Jr., Chris Evans",A thriller story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
The Matrix,Movie,Romance,1983,9.0,"Aamir Khan, Kareena Kapoor",A romance story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Comedy,1997,8.0,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sacred Games,Series,Sci-Fi,1992,8.4,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
3 Idiots,Movie,Fantasy,1994,8.0,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Mirzapur,Series,Sci-Fi,2002,6.4,"Leonardo DiCaprio, Tom Hardy",A sci-fi story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,Movie,Comedy,2008,8.2,"Robert Downey Jr., Chris Evans",A comedy story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Game of Thrones,Series,Action,1999,8.2,"Shah Rukh Khan, Deepika Padukone",A action story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Thriller,2014,8.8,"Aamir Khan, Kareena Kapoor",A thriller story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
The Godfather,Movie,Action,2015,7.9,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Romance,2001,7.6,"Shah Rukh Khan, Deepika Padukone",A romance story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Comedy,1997,7.5,"Shah Rukh Khan, Deepika Padukone",A comedy story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Taare Zameen Par,Movie,Fantasy,2001,6.3,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,Movie,Romance,2009,9.2,"Aamir Khan, Kareena Kapoor",A romance story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Breaking Bad,Series,Romance,1986,8.4,"Shah Rukh Khan, Deepika Padukone",A romance story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Dangal,Movie,Crime,2009,8.3,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Avatar,Movie,Crime,1989,8.3,"Shah Rukh Khan, Deepika Padukone",A crime story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Interstellar,Movie,Drama,1991,6.8,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
PK,Movie,Crime,1982,9.0,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,Movie,Crime,1998,8.8,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Taare Zameen Par,Movie,Romance,2018,9.2,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Crime,1992,6.4,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mirzapur,Series,Fantasy,2021,8.4,"Shah Rukh Khan, Deepika Padukone",A fantasy story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Action,1988,9.2,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Forrest Gump,Movie,Sci-Fi,1993,7.2,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Action,2003,6.7,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,Movie,Crime,2014,6.4,"Leonardo DiCaprio, Tom Hardy",A crime story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mirzapur,Series,Comedy,1992,7.4,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,Movie,Action,1983,9.2,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Fantasy,2001,9.0,"Robert Downey Jr., Chris Evans",A fantasy story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Crime,1994,7.3,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,Movie,Crime,1985,6.7,"Shah Rukh Khan, Deepika Padukone",A crime story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,Movie,Comedy,1990,7.7,"Leonardo DiCaprio, Tom Hardy",A comedy story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Forrest Gump,Movie,Action,2015,7.2,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Game of Thrones,Series,Drama,2022,9.5,"Robert Downey Jr., Chris Evans",A drama story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Romance,2009,7.1,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,Movie,Thriller,2021,7.3,"Robert Downey Jr., Chris Evans",A thriller story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Breaking Bad,Series,Sci-Fi,2012,6.6,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
3 Idiots,Movie,Drama,2010,9.2,"Robert Downey Jr., Chris Evans",A drama story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Game of Thrones,Series,Drama,2002,6.4,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,Movie,Romance,1999,7.8,"Shah Rukh Khan, Deepika Padukone",A romance story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Forrest Gump,Movie,Drama,1989,8.8,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,Movie,Thriller,2018,9.1,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,Movie,Crime,2004,7.1,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,Movie,Comedy,2004,8.0,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Avatar,Movie,Sci-Fi,1991,6.5,"Leonardo DiCaprio, Tom Hardy",A sci-fi story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Inception,Movie,Sci-Fi,2014,8.6,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Breaking Bad,Series,Crime,2014,6.3,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Interstellar,Movie,Drama,2006,7.6,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
